r,g,b,weight,source_index
103.0,18.0,77.0,149.00025808895236,235512
81.0,55.0,68.0,548.0009492130597,227676
104.0,32.0,78.0,342.00059239209196,228628
119.0,31.0,107.0,8.000013857124959,223675
108.0,49.0,97.0,222.0003845352176,218872
22.0,21.0,17.0,5543.009601255456,207721
27.0,21.0,21.0,2465.004269726628,744693
17.0,26.0,21.0,2435.004217762409,1081538
29.0,24.0,18.0,11142.019299510786,1724388
22.0,19.0,26.0,337.0005837313889,142266
27.0,16.0,24.0,156.0002702139367,280040
21.0,25.0,26.0,163.00028233892104,180719
29.0,30.0,25.0,1973.0034175134429,278203
6.0,17.0,1.0,1337.0023158720087,1034120
12.0,20.0,5.0,13629.023607344508,930129
6.0,25.0,0.0,107.00018533904633,1043833
9.0,24.0,1.0,1748.0030277818034,865634
7.0,17.0,9.0,41.000071017765414,1441245
14.0,16.0,11.0,6861.011884216793,1044799
7.0,24.0,8.0,2.0000034642812397,1730417
14.0,25.0,8.0,452.0007829275602,1638053
229.0,140.0,106.0,1025.0017754441353,386907
242.0,137.0,108.0,623.0010791236061,923437
238.0,147.0,100.0,964.0016697835575,1118764
241.0,145.0,105.0,776.001344141121,1118770
239.0,138.0,120.0,482.00083489177877,357786
248.0,138.0,113.0,413.000715374076,541222
237.0,159.0,121.0,939.001626480042,556677
255.0,154.0,126.0,729.0012627305118,544185
119.0,0.0,5.0,5211.00902618477,460026
123.0,0.0,0.0,6812.011799341903,246684
112.0,11.0,0.0,2054.003557816833,746059
125.0,10.0,5.0,2280.003949280613,1382378
115.0,2.0,8.0,1059.0018343369163,456931
127.0,1.0,12.0,1811.0031369066626,660798
113.0,10.0,11.0,1800.0031178531158,796771
127.0,15.0,11.0,2393.004145012503,844170
