Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,4,4096,4,16114.5604638808,3.413278600026388,4102,4096,True,0.0012696303422181,0.2,0.1587037927772652,40584.00673587081,0.0159347000007983,0.1424973000248428,20,0
birb,8,64,0,9450.99934080727,1.2631960000144318,67,64,True,38.42757603755761,3.4000000000000004,0.9777014053927742,15018.695148019997,0.0011802999943029,0.2735664999927394,20,0
birb,8,64,1,10685.146304563188,1.1631415999727324,67,64,True,43.63716162576205,3.6,0.9352958167387272,13225.70094579008,0.0013287000183481,0.2581828999973368,20,0
birb,8,64,2,10163.581450088415,1.1811241000250448,67,64,True,32.35743568720037,3.2,0.9874705715088,17836.149173394846,0.00138989998959,0.2606144000019412,20,0
birb,8,64,3,10339.747126049971,1.0572858999948949,67,64,True,40.34534826705844,3.5,0.940999376491159,14304.797816224533,0.0011653999972622,0.2400528000143822,20,0
birb,8,64,4,9802.829019916162,1.1341102999867871,67,64,True,33.959456429602746,3.3000000000000003,0.944971935041955,16994.73756247597,0.0015443000011146,0.2700133000034839,20,0
birb,8,128,0,9951.417253723768,1.3196842999896037,129,128,True,6.941253212037446,2.0,0.8676566515046807,15018.695148019997,0.0016018000023905,0.2793480999825988,20,0
birb,8,128,1,9174.779034298102,1.2372872999985702,129,128,True,7.882271523006781,2.0,0.9852839403758475,13225.70094579008,0.001512700022431,0.2477270999806933,20,0
birb,8,128,2,10300.229151794734,1.251531700021587,129,128,True,5.844791099432301,1.9,0.8521345822178598,17836.149173394846,0.0031161999795585,0.2452730000077281,20,0
birb,8,128,3,9871.440194993464,1.1481412000139244,129,128,True,7.287664409948253,2.0,0.9109580512435316,14304.797816224533,0.0013901999918743,0.2521627999958582,20,0
birb,8,128,4,9656.949108189616,1.2145455999998376,129,128,True,6.134167447632948,1.9,0.8943238733974262,16994.73756247597,0.0014418000064324,0.2631735000177286,20,0
birb,8,256,0,8832.937613331713,1.4930171000014525,262,256,True,1.6962174405700852,1.2000000000000002,0.9816073151447248,15018.695148019997,0.0043126000091433,0.3064312000060454,20,0
birb,8,256,1,8976.96488333457,1.3279805999773089,262,256,True,1.926171833847934,1.3,0.8767281901902293,13225.70094579008,0.0017056000069715,0.2493156999989878,20,0
birb,8,256,2,9516.966621593983,1.3203139000106603,262,256,True,1.4282776173837106,1.2000000000000002,0.8265495470970543,17836.149173394846,0.0024426000018138,0.2364261999900918,20,0
birb,8,256,3,8355.528169850373,1.3141078000189736,262,256,True,1.780869116219389,1.3,0.8105913137093259,14304.797816224533,0.0016525999817531,0.2477860000217333,20,0
birb,8,256,4,9007.7097411027,1.4097951999865472,262,256,True,1.4989918232644586,1.2000000000000002,0.8674721199447094,16994.73756247597,0.0021214000007603,0.2574472000123933,20,0
birb,8,512,0,9968.547230122347,1.4911114999849815,517,512,True,0.4978036047595302,0.8,0.9722726655459571,15018.695148019997,0.003182900021784,0.2628659999754745,20,0
birb,8,512,1,9196.122738456428,1.4678711000015028,517,512,True,0.5652903096866596,0.9,0.7754325235756646,13225.70094579008,0.0036261999921407,0.2517162000003736,20,0
birb,8,512,2,8524.242590641563,1.5257775000063702,517,512,True,0.41916898713882,0.8,0.8186894280055077,17836.149173394846,0.0025742999860085,0.2694252000073902,20,0
birb,8,512,3,9206.972430916478,1.5654916999919806,517,512,True,0.522647064259036,0.9,0.7169369880096514,14304.797816224533,0.0057146000035572,0.2602108000137377,20,0
birb,8,512,4,8466.974321510836,1.5176831999851856,517,512,True,0.4399220968246353,0.8,0.8592228453606157,16994.73756247597,0.0036653999995905,0.256391100003384,20,0
birb,8,1024,0,8256.24586253435,1.7289000000164378,1026,1024,True,0.1129929930936902,0.5,0.903943944749522,15018.695148019997,0.0066827999835368,0.2610380999976769,20,0
