r,g,b,weight,source_index
114.0,110.0,98.0,422.00024365416584,176180
108.0,124.0,98.0,1764.0010184975085,1655923
99.0,108.0,113.0,142.00008198789467,169909
123.0,106.0,112.0,11.000006351174939,287802
109.0,112.0,117.0,175.0001010414195,177536
126.0,126.0,114.0,262.0001512734395,148411
151.0,62.0,128.0,22.000012702349878,237483
195.0,114.0,183.0,24.00001385710896,227628
205.0,124.0,193.0,2.00000115475908,228534
130.0,0.0,2.0,5877.003393259556,915522
141.0,0.0,2.0,5458.003151337529,1461386
133.0,9.0,7.0,1786.0010311998583,544120
140.0,15.0,0.0,1386.0008002480424,459063
131.0,4.0,15.0,1537.000887432353,796426
141.0,4.0,11.0,1161.000670337646,463002
132.0,8.0,8.0,2318.001338365774,579661
140.0,14.0,15.0,942.0005438915266,1667467
236.0,131.0,73.0,638.0003683681465,647421
246.0,132.0,70.0,503.0002904219086,812623
229.0,156.0,77.0,674.0003891538099,868153
255.0,153.0,79.0,452.00026097555207,547815
225.0,134.0,90.0,1021.0005895045103,1243447
255.0,143.0,93.0,537.000310052813,343615
235.0,155.0,82.0,698.000403010919,855326
255.0,154.0,89.0,576.000332570615,818543
203.0,175.0,135.0,391.0002257554001,915565
223.0,175.0,137.0,443.0002557791362,432477
201.0,183.0,143.0,1620.0009353548546,244835
212.0,190.0,132.0,1290.0007448196066,1079071
201.0,166.0,147.0,182.00010508307628,648170
219.0,163.0,150.0,366.0002113209116,589597
199.0,183.0,150.0,269.00015531509626,303879
209.0,190.0,150.0,324.0001870709709,631101
202.0,161.0,9.0,745.0004301477572,1235313
204.0,177.0,12.0,44.000025404699755,1225532
216.0,176.0,1.0,1018.0005877723717,1230387
201.0,161.0,30.0,120.0000692855448,1241123
215.0,161.0,29.0,369.00021305305023,1236181
203.0,176.0,25.0,15.0000086606931,1233433
221.0,186.0,22.0,326.00018822573,1206756
107.0,38.0,33.0,632.0003649038692,276126
114.0,41.0,34.0,880.0005080939951,544830
105.0,57.0,35.0,1244.0007182601478,789953
112.0,56.0,33.0,1405.0008112182536,1330525
99.0,46.0,54.0,32.00001847614528,228802
124.0,47.0,55.0,42.00002424994068,1446994
107.0,52.0,55.0,170.0000981545218,629380
114.0,61.0,55.0,221.00012760087833,305901
164.0,134.0,108.0,536.0003094754334,338307
188.0,134.0,110.0,539.000311207572,614808
160.0,148.0,108.0,723.0004174454074,1460167
183.0,145.0,98.0,1072.0006189508667,371076
173.0,129.0,118.0,215.0001241366011,600461
184.0,142.0,117.0,368.0002124756707,1006242
160.0,159.0,115.0,448.0002586660339,364526
187.0,152.0,112.0,468.0002702136247,925437
226.0,143.0,39.0,490.0002829159746,1216286
245.0,131.0,34.0,348.0002009280799,445399
236.0,158.0,34.0,772.0004457370048,537781
246.0,147.0,43.0,538.0003106301925,1155317
232.0,141.0,48.0,433.0002500053408,1144752
244.0,129.0,48.0,356.00020554711625,661246
230.0,159.0,55.0,754.0004353441732,1166372
243.0,157.0,54.0,482.00027829693823,328564
151.0,1.0,0.0,5105.002947522551,374263
154.0,0.0,0.0,4346.00250929148,1444736
151.0,13.0,2.0,1535.0008862775937,687164
154.0,13.0,4.0,2268.0013094967967,535253
146.0,2.0,11.0,749.0004324572755,397817
157.0,2.0,10.0,737.0004255287209,561317
145.0,8.0,15.0,962.0005554391174,728503
154.0,9.0,14.0,947.0005467784243,275531
224.0,193.0,66.0,412.00023788037043,1208664
242.0,197.0,78.0,681.0003931954667,972398
234.0,209.0,64.0,165.0000952676241,1228487
250.0,212.0,77.0,210.0001212497034,1256788
231.0,205.0,86.0,768.0004434274867,1239292
247.0,201.0,81.0,1167.000673801923,512693
229.0,208.0,83.0,350.000202082839,1240284
255.0,208.0,93.0,392.0002263327797,699622
119.0,18.0,6.0,3053.0017627397356,317969
126.0,18.0,6.0,2333.0013470264666,832335
119.0,27.0,4.0,1445.0008343134352,573042
127.0,29.0,0.0,1954.001128199621,1254235
112.0,19.0,14.0,2573.0014855975564,736316
122.0,19.0,14.0,1972.001138592453,826307
117.0,24.0,9.0,1222.0007055577978,1635474
123.0,28.0,10.0,1941.001120693687,883123
166.0,136.0,46.0,396.0002286422978,1706977
178.0,134.0,37.0,661.0003816478759,1291688
174.0,147.0,32.0,86.00004965464043,1704018
178.0,150.0,41.0,159.00009180334686,1709949
164.0,133.0,50.0,904.0005219511041,591137
186.0,130.0,56.0,1147.0006622543324,1161025
172.0,150.0,51.0,169.00009757714224,1710978
189.0,146.0,51.0,448.0002586660339,409429
233.0,110.0,69.0,753.0004347667935,650633
240.0,109.0,67.0,188.0001085473535,1091688
233.0,127.0,77.0,967.0005583260152,970802
241.0,121.0,71.0,267.00015416033716,407186
225.0,110.0,81.0,314.0001812971756,669415
255.0,109.0,94.0,172.00009930928087,442835
224.0,124.0,88.0,947.0005467784243,858524
255.0,117.0,85.0,333.0001922673868,342930
226.0,101.0,35.0,780.0004503560411,1292860
244.0,100.0,40.0,84.00004849988136,698022
224.0,115.0,32.0,655.0003781835986,757801
247.0,114.0,35.0,238.00013741633052,521899
224.0,105.0,49.0,776.000448046523,505710
240.0,110.0,61.0,132.00007621409927,1122738
236.0,120.0,59.0,975.0005629450515,661245
250.0,118.0,53.0,260.0001501186804,542871
192.0,209.0,219.0,171.00009873190135,98538
222.0,241.0,196.0,2.00000115475908,1016937
247.0,238.0,199.0,202.00011663066707,827176
216.0,220.0,229.0,42.00002424994068,101501
242.0,211.0,229.0,2.00000115475908,243365
254.0,234.0,225.0,21.00001212497034,600928
61.0,96.0,64.0,12.00000692855448,1401844
57.0,76.0,109.0,26.00001501186804,187357
175.0,78.0,69.0,212.00012240446247,498544
188.0,78.0,65.0,442.00025520175666,1572019
175.0,95.0,72.0,787.0004543976979,446115
163.0,67.0,81.0,5.0000028868977,274292
178.0,71.0,81.0,1.00000057737954,567946
160.0,90.0,80.0,120.0000692855448,449493
190.0,94.0,80.0,206.00011894018522,519055
195.0,43.0,40.0,616.0003556657966,280073
208.0,36.0,36.0,139.00008025575605,772698
195.0,60.0,40.0,1212.0006997840023,417202
216.0,58.0,47.0,476.00027483266103,503065
194.0,40.0,52.0,174.00010046403995,284048
210.0,46.0,53.0,25.0000144344885,376524
197.0,53.0,53.0,832.0004803797773,796406
217.0,61.0,49.0,265.0001530055781,521791
101.0,0.0,4.0,3142.0018141265145,323234
109.0,0.0,0.0,5091.002939439238,1392301
96.0,13.0,0.0,1608.0009284263003,562421
111.0,10.0,0.0,1814.0010473664854,1651546
103.0,7.0,9.0,332.0001916900073,792822
110.0,5.0,10.0,794.0004584393547,286452
103.0,12.0,11.0,679.0003920407077,794801
109.0,15.0,13.0,1346.0007771528608,827315
53.0,2.0,0.0,890.0005138677906,289907
63.0,1.0,4.0,759.0004382310708,299336
54.0,11.0,0.0,1925.0011114556144,727806
58.0,12.0,0.0,1763.001017920129,1027064
53.0,7.0,9.0,43.00002482732022,1723230
61.0,6.0,11.0,14.00000808331356,295385
48.0,8.0,8.0,3220.0018591621188,1731155
59.0,14.0,9.0,5592.003228706388,1693676
33.0,18.0,0.0,2457.00141862153,1353063
44.0,16.0,2.0,2097.0012107648954,1381585
33.0,30.0,0.0,1445.0008343134352,1056220
47.0,29.0,5.0,1496.0008637597919,1206203
35.0,23.0,9.0,1240.0007159506295,911014
41.0,18.0,10.0,861.0004971237839,1726306
36.0,24.0,12.0,3000.00173213862,637004
40.0,29.0,9.0,1499.0008654919304,1226826
103.0,132.0,86.0,3268.0018868763364,1458056
108.0,131.0,87.0,1701.0009821225974,1585208
102.0,140.0,81.0,405.00023383871365,1280266
109.0,137.0,86.0,2235.001290443272,1247643
96.0,132.0,88.0,2185.001261574295,1601445
105.0,134.0,90.0,1586.0009157239504,1695457
102.0,138.0,94.0,380.00021940422516,1606382
107.0,138.0,94.0,2257.0013031456215,1137996
